Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
parma-silk-dress,,,,,,,,Color,Stone Rose,Size,XL,,,1308597SRE0XL,453,shopify,1,deny,manual,131.20,328.00,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0717/4320/9787/files/116E2D27-9665-4EB1-BC51-DA0848F0830C.png?v=1762977592,g,,,
parma-silk-dress,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0717/4320/9787/files/74461ED2-98AF-49D2-8625-5F5489922332.png?v=1762977491,2,Parma Silk Dress,,,,,,,,
parma-silk-dress,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0717/4320/9787/files/116E2D27-9665-4EB1-BC51-DA0848F0830C.png?v=1762977592,3,Parma Silk Dress,,,,,,,,
catana-dress,Catana Dress,<p></p>,Homeboy Threads,,Dresses,"private, designer-donated",TRUE,Color,Le Marais,Size,2,,,1314986LMR002,453,shopify,1,deny,manual,119.20,298.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0717/4320/9787/files/4384D8C5-B6F0-43A4-B8CB-BC40D2D24C89.png?v=1762976859,1,Catana Dress,FALSE,Catana Dress | Homeboy Threads Resale | Homeboy Threads,,https://cdn.shopify.com/s/files/1/0717/4320/9787/files/4384D8C5-B6F0-43A4-B8CB-BC40D2D24C89.png?v=1762976859,g,,,active
catana-dress,,,,,,,,Color,Le Marais,Size,4,,,1314986LMR004,453,shopify,1,deny,manual,119.20,298.00,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0717/4320/9787/files/4384D8C5-B6F0-43A4-B8CB-BC40D2D24C89.png?v=1762976859,g,,,
catana-dress,,,,,,,,Color,Le Marais,Size,6,,,1314986LMR006,453,shopify,1,deny,manual,119.20,298.00,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0717/4320/9787/files/4384D8C5-B6F0-43A4-B8CB-BC40D2D24C89.png?v=1762976859,g,,,
enzo-jacket,Enzo Jacket,<p></p>,Homeboy Threads,,Jackets,"private, designer-donated",TRUE,Color,Tan,Size,L,,,1315891TAN00L,453,shopify,1,deny,manual,147.20,368.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0717/4320/9787/files/A1A4504B-C3FB-49EC-8471-515D36966BFB.png?v=1762975256,1,Enzo Jacket,FALSE,Enzo Jacket | Homeboy Threads Resale | Homeboy Threads,,,g,,,active
enzo-jacket,,,,,,,,Color,Tan,Size,XL,,,1315891TAN0XL,453,shopify,1,deny,manual,147.20,368.00,TRUE,TRUE,,,,,,,,,g,,,
enzo-jacket,,,,,,,,Color,Tan,Size,XS,,,1315891TAN0XS,453,shopify,1,deny,manual,147.20,368.00,TRUE,TRUE,,,,,,,,,g,,,
alden-knit-minidress,Alden Knit Minidress,<p></p>,Homeboy Threads,,Dresses,"private, designer-donated",TRUE,Color,Black,Size,L,,,1310160BLK00L,453,shopify,1,deny,manual,51.20,128.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0717/4320/9787/files/1ABC0B62-A056-4710-A905-E77277C45802.png?v=1762968317,1,Alden Knit Minidress,FALSE,Alden Knit Minidress | Homeboy Threads Resale | Homeboy Threads,,https://cdn.shopify.com/s/files/1/0717/4320/9787/files/1ABC0B62-A056-4710-A905-E77277C45802.png?v=1762968317,g,,,active
alden-knit-minidress,,,,,,,,Color,Black,Size,M,,,1310160BLK00M,453,shopify,1,deny,manual,51.20,128.00,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0717/4320/9787/files/1ABC0B62-A056-4710-A905-E77277C45802.png?v=1762968317,g,,,
alden-knit-minidress,,,,,,,,Color,Black,Size,S,,,1310160BLK00S,453,shopify,1,deny,manual,51.20,128.00,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0717/4320/9787/files/1ABC0B62-A056-4710-A905-E77277C45802.png?v=1762968317,g,,,
alden-knit-minidress,,,,,,,,Color,Black,Size,XL,,,1310160BLK0XL,453,shopify,1,deny,manual,51.20,128.00,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0717/4320/9787/files/1ABC0B62-A056-4710-A905-E77277C45802.png?v=1762968317,g,,,
alden-knit-minidress,,,,,,,,Color,Black Silver Sparkle,Size,L,,,1310160VKR00L,453,shopify,1,deny,manual,51.20,128.00,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0717/4320/9787/files/1ABC0B62-A056-4710-A905-E77277C45802.png?v=1762968317,g,,,
alden-knit-minidress,,,,,,,,Color,Black Silver Sparkle,Size,XL,,,1310160VKR0XL,453,shopify,1,deny,manual,51.20,128.00,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0717/4320/9787/files/1ABC0B62-A056-4710-A905-E77277C45802.png?v=1762968317,g,,,
alden-knit-minidress,,,,,,,,Color,Black,Size,XS,,,1310160VKR0XS,453,shopify,1,deny,manual,51.20,128.00,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0717/4320/9787/files/1ABC0B62-A056-4710-A905-E77277C45802.png?v=1762968317,g,,,
